合约,日期,变化
RI,20180103,不变
JM,20180103,不变
J,20180103,不变
I,20180103,不变
FB,20180103,不变
BB,20180103,删除
ZC,20180103,删除
SF,20180103,删除
RS,20180103,删除
PM,20180103,删除
MA,20180103,删除
LR,20180103,删除
JR,20180103,删除
FG,20180103,删除
Y,20180103,删除
T,20180103,删除
IF,20180103,删除
PB,20180103,删除
ZN,20180103,删除
AG,20180103,不变
SN,20180103,不变
C,20180103,不变
CF,20180103,不变
SR,20180103,不变
IC,20180103,删除
OI,20180103,删除
M,20180103,删除
RU,20180103,删除
RB,20180103,删除
AL,20180103,删除
NI,20180103,删除
TA,20180103,删除
CU,20180103,删除
BU,20180103,删除
AU,20180103,删除
B,20180103,删除
SM,20180103,删除
RI,20180103,新增
JM,20180103,新增
J,20180103,新增
I,20180103,新增
FB,20180103,新增
AG,20180103,新增
SN,20180103,新增
C,20180103,新增
CF,20180103,新增
SR,20180103,新增
